Song #,Song name,Likes,Knows
1,Are You Bored Yet,likes,Dont know
2,again,dont like,dont know
3,Palo alto,dont like,dont know
4,Never be like You,like,dont know
5,Fireflies,like,dont know
6,dont use this one,,
7,Roommates,dont like,dont know
8,大地飞歌,like,know
9,Hush Money,okay,dont know
10,梅花三弄,like,know
11,I love you Secretly,dont like,dont know
12,Beaches,okay,dont know
13,Shape of you,like,know
14,失恋阵线联盟,like,know
15,军港之夜,like,know
16,Homesick,like,dont know
17,Ssx,dont like,dont know
18,if you want to,okay,dont know
19,hollow,okay,dont know
20,踊 子,dont like,dont know
21,American Girls,no,no
22,Stateside,no,no
23,Choosin Texas,yes,no
24,Babydoll,no,no
25,Risk It All,yes,no
26,Taste Back,no,no
27,Coming Up Roses,ok,no
28,Ready Steady Go,no,no
